Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Found by KVC in an unrelated search,"Integrated analysis of climate change, land-use, energy and water strategies",Howells et al.,Howells et al.,NATURE CLIMATE CHANGE,2013,3,,10.1038/nclimate1789,52,Follow Up,Regional-Mauritius,Coupling example
Found in another article,Model human adaptation to climate change,Palmer and Smith,Palmer and Smith,Nature,2014,512,,10.1038/512365a,53,Follow Up,,Commentary
Found in another article,Closing the loop: reconnecting human dynamics to Earth system science,Donges et al,Donges et al,The Anthropocene Review,2017,4,,10.1177/2053019617725537,54,Exclude,,
Found randomly,Avoided economic impacts of climate change on agriculture: integrating a land surface model (CLM) with a global economic model (iPETS),Ren et al,Ren et al,CLIMATIC CHANGE,2016,,,10.1007/s10584-016-1791-1,55,Exclude,Global,One-way coupling
Found randomly,"Global economic effects of changes in crops, pasture, and forests due to changing climate, carbon dioxide, and ozone",Reilly et al.,Reilly et al.,Energy Policy,2007,35,,10.1016/j.enpol.2006.01.040,56,Include,Global,Integrated Model
Found at AGU,A paradigm shift toward a consistent modeling framework to assess climate impacts,Monier et al.,Monier et al.,Nature Communications,2018,,,10.1038/s41467-018-02984-9,57,Include,Global,Integrated Model
Found in publication alert,Linking models of human behaviour and climate alters projected climate change,Beckage et al.,Beckage et al.,NATURE CLIMATE CHANGE,2018,8,,10.1038/s41558-017-0031-7,58,Include,Global,Integrated Model
Web of Science,AN OVERVIEW OF CMIP5 AND THE EXPERIMENT DESIGN,Taylor et al.,"Taylor, Karl E.; Stouffer, Ronald J.; Meehl, Gerald A.",BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,2012,93,4,10.1175/BAMS-D-11-00094.1,59,Exclude,,ESM only
Web of Science,The next generation of scenarios for climate change research and assessment,Moss et al.,"Moss, Richard H.; Edmonds, Jae A.; Hibbard, Kathy A.; Manning, Martin R.; Rose, Steven K.; van Vuuren, Detlef P.; Carter, Timothy R.; Emori, Seita; Kainuma, Mikiko; Kram, Tom; Meehl, Gerald A.; Mitchell, John F. B.; Nakicenovic, Nebojsa; Riahi, Keywan; Smith, Steven J.; Stouffer, Ronald J.; Thomson, Allison M.; Weyant, John P.; Wilbanks, Thomas J.",NATURE,2010,463,7282,10.1038/nature08823,60,Follow Up,,Commentary
Web of Science,The importance of land-cover change in simulating future climates,Feddema et al.,"Feddema, JJ; Oleson, KW; Bonan, GB; Mearns, LO; Buja, LE; Meehl, GA; Washington, WM",SCIENCE,2005,310,5754,10.1126/science.1118160,61,Exclude,,One-way coupling
Web of Science,Parameterization Improvements and Functional and Structural Advances in Version 4 of the Community Land Model,Lawrence et al.,"Lawrence, David M.; Oleson, Keith W.; Flanner, Mark G.; Thornton, Peter E.; Swenson, Sean C.; Lawrence, Peter J.; Zeng, Xubin; Yang, Zong-Liang; Levis, Samuel; Sakaguchi, Koichi; Bonan, Gordon B.; Slater, Andrew G.",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,2011,3,NA,10.1029/2011MS000045,62,Exclude,,ESM only
Web of Science,The influence of land-use change and landscape dynamics on the climate system: relevance to climate-change policy beyond the radiative effect of greenhouse gases,Pielke et al.,"Pielke, RA; Marland, G; Betts, RA; Chase, TN; Eastman, JL; Niles, JO; Niyogi, DDS; Running, SW",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2002,360,1797,10.1098/rsta.2002.1027,63,Exclude,,One-way coupling
Web of Science,The Community Earth System Model A Framework for Collaborative Research,Hurrell et al.,"Hurrell, James W.; Holland, M. M.; Gent, P. R.; Ghan, S.; Kay, Jennifer E.; Kushner, P. J.; Lamarque, J. -F.; Large, W. G.; Lawrence, D.; Lindsay, K.; Lipscomb, W. H.; Long, M. C.; Mahowald, N.; Marsh, D. R.; Neale, R. B.; Rasch, P.; Vavrus, S.; Vertenstein, M.; Bader, D.; Collins, W. D.; Hack, J. J.; Kiehl, J.; Marshall, S.",BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,2013,94,9,10.1175/BAMS-D-12-00121.1,64,Exclude,,ESM only
Web of Science,"Harmonization of land-use scenarios for the period 1500-2100: 600 years of global gridded annual land-use transitions, wood harvest, and resulting secondary lands",Hurtt et al.,"Hurtt, G. C.; Chini, L. P.; Frolking, S.; Betts, R. A.; Feddema, J.; Fischer, G.; Fisk, J. P.; Hibbard, K.; Houghton, R. A.; Janetos, A.; Jones, C. D.; Kindermann, G.; Kinoshita, T.; Goldewijk, Kees Klein; Riahi, K.; Shevliakova, E.; Smith, S.; Stehfest, E.; Thomson, A.; Thornton, P.; van Vuuren, D. P.; Wang, Y. P.",CLIMATIC CHANGE,2011,109,2-Jan,10.1007/s10584-011-0153-2,65,Follow Up,,Linking tool
Web of Science,Stabilizing greenhouse gas concentrations at low levels: an assessment of reduction strategies and costs,van Vuuren et al.,"van Vuuren, Detlef P.; Den Elzen, Michel G. J.; Lucas, Paul L.; Eickhout, Bas; Strengers, Bart J.; van Ruijven, Bas; Wonink, Steven; van Houdt, Roy",CLIMATIC CHANGE,2007,81,2,10.1007/s10584-006-9172-9,66,Exclude,,IAM only
Web of Science,RCP4.5: a pathway for stabilization of radiative forcing by 2100,Thomson et al.,"Thomson, Allison M.; Calvin, Katherine V.; Smith, Steven J.; Kyle, G. Page; Volke, April; Patel, Pralit; Delgado-Arias, Sabrina; Bond-Lamberty, Ben; Wise, Marshall A.; Clarke, Leon E.; Edmonds, James A.",CLIMATIC CHANGE,2011,109,2-Jan,10.1007/s10584-011-0151-4,67,Exclude,,IAM only
Web of Science,"The HYDE 3.1 spatially explicit database of human-induced global land-use change over the past 12,000 years",Goldewijk et al.,"Goldewijk, Kees Klein; Beusen, Arthur; van Drecht, Gerard; de Vos, Martine",GLOBAL ECOLOGY AND BIOGEOGRAPHY,2011,20,1,10.1111/j.1466-8238.2010.00587.x,68,Exclude,,Data set
