temp,year,var,model,scenario,ens,yrs,regrid
289.3178406,2075,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.2880859,2076,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4432068,2077,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5784912,2078,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5231323,2079,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4624634,2080,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6236877,2081,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5553589,2082,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4817505,2083,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5861511,2084,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6227417,2085,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6955261,2086,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5054932,2087,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5881348,2088,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6869507,2089,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4181519,2090,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4858093,2091,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5209961,2092,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4475403,2093,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4562683,2094,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6239014,2095,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5252991,2096,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5929565,2097,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7456665,2098,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.650177,2099,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6032104,2100,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.8803101,2006,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
287.869812,2007,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0756531,2008,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
